School_Name,School_ClassDivision,School_Transport,School_Registration,School_Admission,School_AnnualFee,School_MoreFeeInfo
GH943,Playway,0,1000,65000,94000,http://jaipuria.edu.in/ghaziabadschool/wp-content/blogs.dir/5/files/2018/06/Statement-of-Fee-2018-19.pdf
GH943,Primary,0,1000,65000,97200,http://jaipuria.edu.in/ghaziabadschool/wp-content/blogs.dir/5/files/2018/06/Statement-of-Fee-2018-19.pdf
GH943,Secondary,0,1000,65000,101200,http://jaipuria.edu.in/ghaziabadschool/wp-content/blogs.dir/5/files/2018/06/Statement-of-Fee-2018-19.pdf
GH943,Higher,0,1000,65000,102920,http://jaipuria.edu.in/ghaziabadschool/wp-content/blogs.dir/5/files/2018/06/Statement-of-Fee-2018-19.pdf
GH1494,Playway,0,1100,35500,117864,https://www.khaitanpublicschool.com/fee-details.html
GH1494,Primary,0,1100,40500,117536,https://www.khaitanpublicschool.com/fee-details.html
GH1494,Secondary,0,1100,40500,113088,https://www.khaitanpublicschool.com/fee-details.html
GH1494,Higher,0,1100,40500,127844,https://www.khaitanpublicschool.com/fee-details.html
GH1756,Playway,15600,1000,6025,29880,http://sahib.stthomasghaziabad.org/userfiles/downloads/fee2018.pdf
GH1756,Primary,15600,1000,6025,29460,http://sahib.stthomasghaziabad.org/userfiles/downloads/fee2018.pdf
GH1756,Secondary,15600,1000,6025,31380,http://sahib.stthomasghaziabad.org/userfiles/downloads/fee2018.pdf
GH1756,Higher,15600,1000,7650,40200,http://sahib.stthomasghaziabad.org/userfiles/downloads/fee2018.pdf
GH1343,Playway,20160,0,0,52536,http://www.indirapuramschool.com/class/download.doc.php?file=1526470140.pdf
GH1343,Primary,20160,0,0,46740,http://www.indirapuramschool.com/class/download.doc.php?file=1526470140.pdf
GH1343,Secondary,20160,0,0,52068,http://www.indirapuramschool.com/class/download.doc.php?file=1526470140.pdf
GH1343,Higher,20160,0,0,59124,http://www.indirapuramschool.com/class/download.doc.php?file=1526470140.pdf
GH1932,Playway,33600,2000,45000,118800,https://mydpsg-my.sharepoint.com/:x:/r/personal/shivani_saxena_dpsgs_org/_layouts/15/Doc.aspx?sourcedoc=%7B44a29c74-4c22-4cf0-9c8a-3f08387782b4%7D&action=default
GH1932,Primary,33600,2000,45000,118800,https://mydpsg-my.sharepoint.com/:x:/r/personal/shivani_saxena_dpsgs_org/_layouts/15/Doc.aspx?sourcedoc=%7B44a29c74-4c22-4cf0-9c8a-3f08387782b4%7D&action=default
GH1932,Secondary,33600,2000,45000,118800,https://mydpsg-my.sharepoint.com/:x:/r/personal/shivani_saxena_dpsgs_org/_layouts/15/Doc.aspx?sourcedoc=%7B44a29c74-4c22-4cf0-9c8a-3f08387782b4%7D&action=default
GH1932,Higher,33600,2000,45000,118800,https://mydpsg-my.sharepoint.com/:x:/r/personal/shivani_saxena_dpsgs_org/_layouts/15/Doc.aspx?sourcedoc=%7B44a29c74-4c22-4cf0-9c8a-3f08387782b4%7D&action=default
GH1513,Playway,16800,0,36818,89124,http://ip.cambridgeschool.edu.in/statement-of-fee-for-the-year-2018-19/
GH1513,Primary,16800,0,24059,69939,http://ip.cambridgeschool.edu.in/statement-of-fee-for-the-year-2018-19/
GH1513,Secondary,16800,0,24014,68062,http://ip.cambridgeschool.edu.in/statement-of-fee-for-the-year-2018-19/
GH1513,Higher,16800,0,24018,69002,http://ip.cambridgeschool.edu.in/statement-of-fee-for-the-year-2018-19/
GH1918,Playway,0,0,35000,57600,http://www.modernschoolgz.com/fee-structure/
GH1918,Primary,0,0,35000,58800,http://www.modernschoolgz.com/fee-structure/
GH1918,Secondary,0,0,35000,61200,http://www.modernschoolgz.com/fee-structure/
GH933,Playway,19250,200,8500,37200,http://ccdps.in/pages/pdf_files/FEESTRU2019-20.pdf
GH933,Primary,18150,300,9000,43400,http://ccdps.in/pages/pdf_files/FEESTRU2019-20.pdf
GH933,Secondary,18150,300,9000,46400,http://ccdps.in/pages/pdf_files/FEESTRU2019-20.pdf
GH933,Higher,18150,300,10000,51700,http://ccdps.in/pages/pdf_files/FEESTRU2019-20.pdf
GH1164,Playway,0,0,0,18000,http://www.jkgschool.com/jkgi/Fees%20Structure%202018-19_new.pdf
GH1164,Primary,0,0,0,17649,http://www.jkgschool.com/jkgi/Fees%20Structure%202018-19_new.pdf
GH1164,Secondary,0,0,0,18249,http://www.jkgschool.com/jkgi/Fees%20Structure%202018-19_new.pdf
GH1164,Higher,0,0,0,20601,http://www.jkgschool.com/jkgi/Fees%20Structure%202018-19_new.pdf
GH1216,Playway,0,1000,35000,46200,http://www.ralliinternationalschool.com/school.aspx
GH1216,Primary,0,1000,35000,48600,http://www.ralliinternationalschool.com/school.aspx
GH1216,Secondary,0,1000,35000,51000,http://www.ralliinternationalschool.com/school.aspx
GH1216,Higher,0,1000,35000,55200,http://www.ralliinternationalschool.com/school.aspx