School_Name,School_Library,School_SportFacility,School_ScienceLab,School_ArtAndCulture,School_MoreInfo
GH943,Available,"Skating, Taekwondo, Gymnastics, Karate, Yoga,Basketball, Volleyball,Football","Physics,Chemistry,Biology,Computer","Aerobics,Dance,Music,Theatre,Painting,Folk Art",http://jaipuria.edu.in/ghaziabadschool/infrastructure/campus-overview/
GH1494,,"Cricket,FootBall,Skating,Shooting,Swimming,Lawn Tennis,BasketBall,Martial Arts,Yoga,Kabbadi","Physics,Chemistry,Biology,Computer","Dance,Music,Sclupture Making,Visual Art,Theatre",https://www.khaitanpublicschool.com/
GH1756,Available,,"Physics,Chemistry,Biology,Computer",,http://sahib.stthomasghaziabad.org/index.php
GH1343,Available,"Sport Ground,Swimming Pool,Ball Pool,Thematic Classrooms","Physics,Chemistry,Mathematics,Smart Classes","Dance,Music,Drawing,Craft,Gardening,Cookjng,Drama,Public Speaking",http://www.indirapuramschool.com/facilities.php
GH1932,,"Cricket,Yoga,Lawn Tennis,Basketball ,Hockey ,Football,Taekwondo,Skating,Chess",,"Foreign Language,Photography,Sculpture Making",http://dpsgv.in/
GH1513,Available,"Skating, Karate, Kho-kho,Table Tennis,Badminton,Cricket, Kabaddi, Football, Hockey, Athletics,Hand Ball.","Physics,Chemistry,Biology,Computer,Social Science,Mathematics","Drama,Public Speaking,Photography,Art,Craft,Sculpture Making",http://www.csindirapuram.com/
GH1918,,"Cricket,Yoga,Lawn Tennis,Table Tennis,Basketball,Football,Skating,Swimming","Computer,Mathematics","Art,Music,Dance,Linguistic and Brain Games,Clay Modelling",http://www.modernschoolgz.com/infrastructure/
GH933,Available,"VolleyBall,BasketBall,Cricket,Skating,Carrom Board,Table Tennis","Physics, Chemistry, Biotechnology, Biology,Mathematics,Fashion Studies","Aerobics,Dance,Music,Art",http://ccdps.in/pages/pdf_files/SPORTS%20CO-%20CURRICULAR%20&%20EXTRA%20CUR.pdf
GH1776,Available,"Aerobic,Archery,Badminton,Basket Ball,Chess,Cricket,FootBall,Kabaddi,Kho-kho,Malkham,Skating,Table Tennis,Taekwondo,Yoga","Physics,Chemistry,Biology,Computer,Social Science,Mathematics,Montessori","Visual Arts,Performing Arts",http://www.amity.edu/ais/aisv1/default.asp
GH1164,Available,"Yoga,Gym,Swimming ,Splash Pool","Science,Computer","Art,Music,Dance,Foreign Language",https://www.dpsindirapuram.com/page.php?PAGE=24
GH1239,Available,"Table Tennis,Badminton,Volleyball ,Taekwondo,Kho-kho,Skating","Physics,Chemistry,Biology,Computer","Art,Music,Craft",http://www.jkgschool.com/jkgi/infrastructure.php
GH1473,Available,Swimming,"Think Lab,Smart Classes","Drama,Art,Craft,Pottery,Taekwondo,Music,Dance,Skating",https://arwachinkids.com/amenities/
,,,,,
,,,,,
,,,,,