School_Name,School_Address,School_Contact,School_Website,School_Rating,School_City
The Khaitan School,"1A/A, Block F, Sector 40",+91 120 400 7575,http://www.thekhaitanschool.org/,3.8,Noida
Billabong High International School,"A-73, Sector-34",+91 120 423 3128,http://billabonghighschoolnoida.com/,4.3,Noida
Apeejay School,+91 120 251 5141,,http://apeejay.edu/noida/,3.5,Noida
Vishwa Bharati Public School,"Arun Vihar, Sector 28",+91 120 245 5142,http://vbpsnoida.com/,4.3,Noida
Pathways School Noida,+91 95601 66200,,https://www.pathways.in/noida,3.7,Noida
Mayoor School,"Sector 126, Expressway, Next to Amity University",+91 120 461 8301,http://www.mayoornoida.net/,3.8,Noida
Assisi Convent School,"A-43, Block A, Sector 33",+91 120 250 5412,http://assisinoida.com/,4.2,Noida
Somerville School,"D-89, Sector- 22, Gautam Buddh Nagar",+91 120 241 5050,http://www.somervillenoida.in/,4.1,Noida
Cambridge School,"Near Viniyak Hospital, Gautam Budh Nagar, Sector-27",+91 120 252 8509,http://noida.cambridgeschool.edu.in/,4.1,Noida
Lotus Valley International School,Expressway,+91 99109 62228,http://www.lotusvalley.com/,4,Noida
The Millennium School,"No.D-108, Aghapur, Sector 41",+91 120 421 7341,http://www.themillenniumschools.com/,3.6,Noida
"Army Public School, Noida","Sector 37, Arun Vihar, Opposite Shaheed Smarak",+91 120 243 0432,http://apsnoida.edu.in/,4.4,Noida
Amity International School,Sector 44,+91 120 439 9000,http://www.amity.edu/ais/aiss/,3.8,Noida
Noida Public Senior Secondary School,A-78,+91 120 241 1300,http://www.noidapublicschool.com/,3.8,Noida
"Nehru International Public School, Noida",+91 120 420 8105,,http://www.nipschoolnoida.com/,4,Noida
Genesis Global School,"A - 12, Sector - 132, Expressway",+91 97110 00626,http://www.genesisglobalschool.edu.in/,4.2,Noida
Sapphire International School,"SS - 1, Sector 70",+91 97173 30066,http://www.sapphireschool.in/,4.2,Noida
Shiv Nadar School,"Plot No -SS -1, Expressway, Sector 168",+91 120 640 7177,http://shivnadarschool.edu.in/,4.1,Noida
Delhi Public School,Sector-30,+91 120 450 9100,http://www.dpsnoida.co.in/,3.9,Noida
Bal Bharati Public School,Sector 21,+91 120 253 8533,http://bbpsnoida.balbharati.org/,3.5,Noida
"Delhi Public School,Gautam Buddh Nagar",B-1,+91 99999 99484,http://www.dpsgbn.com/,4.3,Noida
"Global Indian International School (GIIS), Noida Campus",D-5,+91 97186 66111,http://www.giisnoida.org/,4.2,Noida
Ryan International School,"D – 46B, Near Golf Course Metro Station, Sector 39, Gautam Buddh Nagar",+91 120 257 4471,http://www.ryaninternational.org/risnoida/,3.9,Noida
The Shriram Millennium School,"Plot S-1, off Greater Noida Expressway, Sector 135",+91 99991 76666,,4.2,Noida
Sarla Chopra Dav Public School,"A53A, Sector 56",+91 120 425 8052,http://www.davnoida.org/,4.1,Noida
Sunriseville Sr. Sec. School,+91 5752 538 361,,http://www.sunriseville.com/,3.2,Noida
Kothari International School,B-279,+91 120 408 2430,http://www.kotharischool.edu.in/,4,Noida
"G.D. GOENKA GLOBAL SCHOOL, NOIDA","A56, Sector - 50 , Noida , UP",+91 99993 52863,http://www.gdgoenkanoida.com/,4.9,Noida
JSS Public School,"No.A-104-A, Sector 61, Behind Shopprix Mall",+91 96549 99764,http://www.jsspsn.edu.in/,4.3,Noida
Rockwood School,"Near, B-67, Sector 33",+91 120 428 2242,http://www.rockwoodschool.org/,3.8,Noida
JBM GLOBAL SCHOOL,"A-11, Sector 132, Expressway",+91 99101 53515,http://www.jbms.in/,4.5,Noida
Genesis Global School,"subarea, Sector 126",+91 97110 00498,http://www.genesisglobalschool.edu.in/admissions/annual-fee-structure/,3.3,Noida
Lotus Valley International School,"2B, Noida-Greater Noida Expy",+91 99109 62228,https://www.lotusvalley.com/,4.4,Noida
City Public School,"E-3, Sector - 61",+91 120 258 6310,http://cpsnoida.com/,3.8,Noida
Ramagya School : Best CBSE School In Noida | School In Noida,E-7,+91 80103 33555,http://ramagyaschool.com/,4.1,Noida
Brahmananda Public School,"A-62/A, Sector 20, Gautam Buddh Nagar",+91 120 252 3828,http://www.brahmanandaindia.org/,3.9,Noida
Manav Rachna International School,D-196,+91 120 460 2350,http://mris.edu.in/noida-sector-51/,4.4,Noida
Indian National Public School,"E-78A, Sector 20",+91 120 432 0879,http://www.inpschool.com/,3.4,Noida
Fortune World School,"Block b, Sector 105, Noida Expressway, behind India Oil",+91 120 256 8995,http://www.fortuneworldschool.com/,4.6,Noida
Jagran Public School Noida,"Block A, Jagran Public School, Sector 47",+91 120 404 3830,http://www.jpsnoida.com/,4.2,Noida
J. S. S. Public School,"Gali number 3, jhariya colony",+91 99905 21559,http://jsspsn.edu.in/,3,Noida
Step by Step School,"Plot - A 10, Sector 132, Taj Expressway",+91 120 385 7300,http://www.sbs-school.org/,3.9,Noida
Indraprastha Global School,"Plot No: S1, Sector 93 B, Express Highway",+91 120 242 6040,http://www.indraprasthaschool.com/webaura/igs/index.asp,3.9,Noida
Little Scholar School Noida,A-687A,+91 120 435 4424,http://www.littlescholarnoida.com/,4.3,Noida
KLAY Prep Schools and DayCare,"B-15, Ground Floor, Sana Heights,, Sector 132, Opposite Somerville School, Noida-Greater Noida Expressway",+91 76767 08888,http://www.klayschools.com/?utm_source=google-listing-UTM&utm_medium=Mybusiness,5,Noida
Noida School of Rock,"A 117C, Sector 35",+91 98184 48705,http://www.noidaschoolofrock.com/,4,Noida
Amity Global School,"Amity Global School, Sector 44",+91 120 439 1278,http://www.amityglobalschool.com/noida,4.3,Noida
Raghav Global School,"SS 1 Block-A, Sector 122",+91 85889 44468,http://rgsnoida.com/,4.2,Noida
Yadu Public School,"Gautam Budh Nagar, Sector 73",+91 120 656 6686,http://yadupublicschool.com/,3.9,Noida
THE ARDEE SCHOOL,3C Complex,+91 98103 02158,http://theardeeschool.com/noida/,4.2,Noida
Adarsh Public School,B -193,+91 120 249 8985,http://www.adarshpublicschoolnoida.com/,3.7,Noida
Little Angels- Best Play School In Noida,+91 93120 85431,,http://littleangelsnoida.com/,4.1,Noida
AMAR PUBLIC SCHOOL,"PS-2B, Arun Vihar, Sector 37",+91 98998 74777,http://www.amarpublicschool.com/,3.4,Noida
KIDZEE SCHOOL,"RP1/RP2,SEC-71,CBLOCK",+91 92666 61861,http://www.kidzeenoida.com/,3.6,Noida
KLAY Prep Schools and DayCare,"GF, Tower 8, Unitech Infospace, Sector 135",+91 76767 08888,http://www.klayschools.com/?utm_source=google-listing-UTM&utm_medium=Mybusiness,3,Noida
Gyanshree School,"Plot No 3 & 4, Noida Expressway, Sector 127",+91 70421 93396,http://gyanshree.in/,4.6,Noida
Cambridge School,"Chhalera, BISRAKH",+91 120 252 3645,http://noida.cambridgeschool.edu.in/,3,Noida
Alliance World School,+91 120 258 9073,,http://www.allianceworldschool.in/,4.1,Noida
Marigold Public School,"B-183, B&C, Sector - 19",+91 120 244 0054,http://www.marigoldindia.com/,3.5,Noida
LPS School Noida,LPS Global School,,http://www.lpsglobal.org/,,Noida
LPS Global School,D-196/2,+91 92053 58900,http://lpsglobal.org/,4.5,Noida
Uttarakhand Public School,"E-1, Sec 56",+91 120 431 9363 ext. 4516792,http://www.uttarakhandpublicschool.com/,3.8,Noida
Kothari Starz,B-279,+91 80101 28128,http://www.kotharistarz.com/,5,Noida
Delhi Public School,Barola Bisrakh,+91 120 450 9100,http://www.dpsnoida.co.in/,3.8,Noida
SALVATION TREE SCHOOL,,,http://www.salvationtree.edu.in/,3.7,Noida
The Manthan School,+91 120 498 4255,,http://www.themanthanschool.co.in/,3.9,Noida
The Millennium School,"Plot No. SS-01,, Sector 119",+91 99588 89650,http://themillenniumschools.com/,3.9,Noida
Makoons Play School Noida,PK-A 1,+91 98702 74875,http://www.makoons.com/,5,Noida
Somerville International School,"A-07, Sector - 132, Expressway, NOIDA, DISTT. GAUTAM BUDH NAGAR",+91 96505 06358,http://www.somervilleinternational.in/,4.2,Noida
Sapphire International School,"E-22B, Sector-8",+91 82680 39994,http://www.sapphireschool.in/,3,Noida
SANFORT PLAY SCHOOL NOIDA SECTOR 117,"SANFORT NOIDA SECTOR 117, SANFORT PLAY SCHOOL, PLOT NO. GT - 03, SECTOR 117, OPP",+91 95600 23505,http://noida117.sanfortschools.com/,4.3,Noida
"Amiown Pre School, Noida",201303,,http://www.amiown.com/Noida,,Noida
Kidzee Noida,I-110,+91 98111 30621,http://www.kidzeenoida.com/,4,Noida
Footprints: Play School & Day Care,,,http://www.footprintseducation.in/,3.6,Noida
Noida International Public School,"Garhi Chaukhandi, MP3 Main Road, Sector-121",+91 95998 10512,http://noidainternationalpublicschool.com/index.php?option=com_contact&view=contact&id=2&Itemid=86,3.2,Noida
Assisi School BHEL Township,,,http://assisinoida.com/,4.3,Noida
Modern School,+91 120 255 5563,,http://www.modernschoolnoida.com/,4,Noida
Shanti International PJH School,"Sector-168, Taj Expressway Chhaproli Khadar",+91 88003 85377,http://www.sispjhs.com/,3.9,Noida
Sanfort Play School Sec-70,"BH 127, 201307",+91 95405 88588,http://www.sanfortschools.com/,4.4,Noida
Ramagya Roots - Best Play Schools in Noida,E-7,+91 80103 33555,http://ramagyaroots.com/,,Noida
Presidium School Noida,C- 5/ 230 B 1st floor Sector- 31 Noida,+91 78386 54291,http://www.presidiumnoida.com/,4,Noida
"New Bal Bharti Public School Noida, Sector 49",Kalyan Kunj,+91 82870 76101,,3.4,Noida
MERRY ANGELS PUBLIC SCHOOL NOIDA,F-1 Sector 15 Noida,+91 120 454 2242,http://www.merryangels.org/,3.1,Noida
Sugar Pie Play School Noida Sector 137 By Mothers Pride,"Unit No -204, T-26, Paras Tierea, Sector 137, Noida",+91 99993 22625,https://sugarpieplayschoolnoida.business.site/,5,Noida
model national public school,+91 99580 02993,,http://mnpsnoida.com/,3.3,Noida
"Maple Bear Canadian PreSchool Sector 141, Noida","SH 44, Opposite Logix Blossom County, Sector 141,, 8447884099",+91 84478 84099,http://www.maplebear.in/,4.9,Noida
Premier Arts Academy - Dance & Music School Noida.,"D-131, sector 108",+91 98180 03550,http://www.premierartsacademy.com/,4.6,Noida
Govt Primary School,"C-99, Vyapar Marg",,,,Noida
Jaypee Public School,"Wish Town, Jaypee Greens",+91 120 419 5958,http://www.jaypeeschools-jpsnoida.edu.in/,4.3,Noida
Vanasthali Public Sr. Sec. School,A-32 B,+91 120 428 3479,http://vps.education/,3.8,Noida
"ASPAM Pre-School, Noida, Uttar Pradesh","A-13/5, Sector 62, Distt. Gautambudh Nagar, A Block, Sector 62",+91 120 240 0118,http://www.aspampreschool.com/,5,Noida
Yash Memorial School,"Sector 58, Gautam Buddh Nagar",+91 120 258 9373,http://www.yashmemorialschool.net/,4.2,Noida
SD PUBLIC SCHOOL BHANGEL NOIDA,b-20,+91 98915 00147,,5,Noida
Sanfort,"House no. SH 34, 35, Sector 141, Noida",+91 88008 08607,http://www.sanfortschools.com/,5,Noida
Mother's Pride Noida Sector 19,A-197,+91 78386 54499,http://www.motherspridepreschool.com/,4.3,Noida
Maple Bear Canadian Pre-school,"C-49, Sector 48, Gate No.1,, Near Samvedna Hospital,",+91 88261 33288,http://maplebear.in/noidasec48/,3.8,Noida
Kendriya Vidyalaya,"A - 7, Sector - 24, Noida, Near Noida Sector NTPC ESI - 24 Police Station",+91 120 432 7434,,4.1,Noida
Nilgiri Hills Public School,"F-1, Sector 50, F Block, Gautam Buddha Nagar",+91 120 248 5254,http://www.nhpsnoida.com/,3.7,Noida
DAV Public School,+91 95999 33086,,http://davnoida.org/,2.8,Noida
Vayu guitar school noida,"G-21 B, Sector 22 Block G Road, Near Federal Bank, G-Block, Sector 22",+91 98182 88962,http://guitarclassnoida.com/,4.6,Noida
N.S. Public School,"E-3B, Sector 26",+91 120 255 8827,http://www.nspublicschool.com/,4,Noida
Little Pearls School,"F-1 201303, F-1, Sector 29",+91 98912 47399,http://www.littlepearlsplayschoolnoida.com/,4.7,Noida
peach blossom school,"Block E, Sector 61, Gautam Buddh Nagar",+91 98992 66686,,4.7,Noida
Sanfort Pre School Noida,Prateek Stylome,+91 99580 98499,http://www.sanfortschools.com/,3.2,Noida
"Maple Bear Canadian Preschool, Sector 122, Noida","PKA 14 FNG Expressway Service Road, Shramin Kunj, Sector 122, Noida, Uttar Pradesh 201304",+91 95999 88933,http://www.maplebear.in/noidasec122,4.7,Noida
Prakriti School,F-72A,+91 120 423 7780,http://prakriti.org.in/,4.2,Noida
Mother's Pride Noida Sector 61,"C- 54 B/1, Behind Royal Tower, Sector 61",+91 78386 54292,http://www.motherspridepreschool.com/,4.4,Noida
Bhaurav Devras Saraswati Mandir Sr. Sec. School,H-107,+91 120 253 6903,http://bdsvidyamandirnoida.in/,4.1,Noida
Mountain Kids School Noida,5,,,2,Noida
Ideal Public School,"d 81 82, D-81-82",+91 84710 13152,http://www.noidapublicschool.com/,4,Noida
Udaan The Play School,+91 92136 02322,,https://www.playschoolworld.com/school-detail/udaan-the-play-school-noida,4.8,Noida
NEW GOLDEN PUBLIC SCHOOL,+91 99719 74393,,http://www.ngpsnoida.com/,4,Noida
DSR Modern School,"Sector 22, Chora Sadatpur, Near J Block,",+91 120 428 9866,http://www.dsrmodernschool.com/,3.2,Noida
Noida Global School Mamura,Street Number 5,+91 70657 02266,http://www.ngsnoida.com/,3.2,Noida
"Amity School of Business, Amity University sector 125, Noida",Amity school of Business,,http://www.amity.edu/abs/,3.6,Noida
jmd public school sector 63 noida,+91 99908 15014,,http://www.jmdpublicschool.com/,2.5,Noida
Khaitan Pre-School,"109/B, Block B, Sector 40",+91 120 257 7535,http://www.khaitanpreschool.org/,4.5,Noida
Government Inter College Noida,"U-1, Sector 12 Block V Road, Block S, Sector 12",+91 99713 00628,http://upmsp.edu.in/,3.7,Noida
Little Planet Pre School,"Sector 49, Main DSC Road, Near OBC Bank",+91 98998 06299,http://www.littleplanetpreschool.com/,5,Noida
bachpan a play school,"Block-E, sector 72(near iob bank) noida, u.p",+91 98911 18836,http://www.bachpanglobal.com/,4.3,Noida
Sanfort Play School,"House No. H- 58, Sector 51, G.B Nagar",+91 120 652 1000,http://www.sanfortschools.com/,5,Noida
Saraswati Shishu Mandir,C-41,+91 120 454 5608,,3.7,Noida
Maharishi University Noida Campus,+91 92059 85599,,http://www.muitnoida.edu.in/,4.5,Noida
behavior Momentum India Noida,"H41,",+91 99000 96529,http://behaviormomentum.com/,,Noida
Vawna Play School,vawna play school,,,3,Noida
Special School Noida,"Block Q, Flat No: 46, Near Barat Ghar, Barcos Garden, Sector 12",+91 98184 79606,http://www.special-schools-in-noida.blogspot.com/,4.3,Noida
Shambhu Dayal School,"Pusta Road, Khanda",+91 95603 34456,http://sambhudayalpublicschool.com/,3.2,Noida
RK public school sector 45 sadarpur,Unnamed Road,,,5,Noida
Rockwood School is Beat Tpo 5 - 10 School in Noida,"B-67, Sector 33, Near NTPC Township",+91 98107 34394,http://www.rockwoodschool.org/,5,Noida
Shemrock Dew Drops,"SK 137 & 138, Sector 116, Opp. Sector 77",+91 99990 25651,https://www.shemrock.com/shemrock-dew-drops-playschool-noida,4.3,Noida
Sunrise City Public School,"Gyan Kunj, Barola Noida",+91 98685 16652,http://www.schoolsevak.com/,3.8,Noida
Rouble's Guitar School,"D-37,opposite park,near prayag hospital,Sector 49",+91 99101 72938,http://roublesguitarschool.com/,4.3,Noida
Gandhi Smarak Vidyalaya,Hospital Marg,+91 96507 89510,,3.5,Noida
Footprints: Play School & Day Care Creche,Plot,+91 74062 22118,http://www.footprintseducation.in/noida-sector122,4.7,Noida
Vanasthali Public School,A-32B,,http://www.vpsnoida.com/,4.1,Noida
Army Public School,"Sector 37, Arun Vihar, Noida, Gautam Budh Nagar, Uttar Pradesh",,,5,Noida
Little Millennium - Sector 122 - Noida,PK-008,+91 88008 61003,http://www.littlemillennium.com/,3.5,Noida
"Makoons Pre School, Noida Sec-76","T-002, Amrapali Silicon City, Sector-76",+91 88603 39933,http://www.makoons.com/,,Noida
BS Modern Public School,Unnamed Road,,,4.3,Noida
Footprints,+91 98213 67195,,https://www.footprintseducation.in/,,Noida
EuroKids Noida Sector 93,"GT-98, Behind Geja Market,",+91 92112 45996,http://www.eurokidsnoida.com/,4.5,Noida
Sarvodya Vidya Mandir Sadarpur Sec.45 Noida,"Sadarpur, Sector-45",+91 98999 95043,,4.1,Noida
Kanchan Public School,"2, Gali Number 6A, Nithari Village, Sector 31, Noida, Uttar Pradesh 201301, Gali Number 6A",+91 98101 10865,,5,Noida
Green FIELD MODERN PUBLIC SCHOOL NOIDA,+91 120 312 2142,,,4.3,Noida
"Little Millennium - Play School In Sector 116, Noida - Day Care In Sector 116, Noida","PK-001, Opp. Supertech Capetown,, Sector 117",+91 97172 88361,http://www.littlemillennium.com/,5,Noida
Eurokids Sector 122 Noida,"PK-A2, Near Amrapali Platinum, Sector-122, Noida",+91 75318 98989,http://business.google.com/website/eurokidsnoidasector122,4.6,Noida
Yo Poppins Play School and 24x7 Daycare,"Plot No. GT 34, Sector 117, Near Ajnara Grand Heritage Sector 74",+91 99583 05557,http://www.yopoppinsplayschool.in/,5,Noida
Footprints: Play School & Day Care Creche,"Gyanshree School, Plot No-3, 4, Noida-Greater Noida Expy",+91 74062 22118,http://www.footprintseducation.in/pre_school_daycare_sector_127_noida,4.3,Noida
GAIA School,"IP Number NS/02,Sector 93, Opp ATS Green Gate 2, Gautam Budh Nagar",+91 99537 50671,http://www.gaiaschool.in/,4.1,Noida
New Wings Play School,"C-54/B/II, Sector 61",+91 99903 32489,http://www.newwings.co.in/,5,Noida
National Education Misson Public School,"Sector-93 ,Post - Maharshi Nagar, Near Noida G.noida Express way",+91 96508 18877,,4.1,Noida
Rhythm Play School,"D 196/1, sec 51, Near Manav Rachna",+91 98998 52000,http://www.rhythmplayschool.com/,4.6,Noida
New Green Lawns Public School,"Opp.Police Station, Bhangel, Dadri Main Rd",+91 99995 86946,,3.7,Noida
Well Being Special School /Autism School In Noida,"BS-107 ,Sector 70, Gautam Budh Nagar ,Behind sapphire int. school",+91 96673 68406,https://www.facebook.com/wellbeingspecialschool,4.9,Noida
Kumon Maths & English Program,"Sector 132, Opposite Step By Step School, Noida Expressway",+91 98112 86999,http://in.kumonglobal.com/,4.8,Noida
Actor Studio India : Method Acting Training School By Actor Gaurav Nanda,D 108,+91 98115 00715,http://www.actorstudioindia.com/,4,Noida
Play School,"Block 21, Pocket 7, Sector 82, Noida, sk 148A",,,,Noida
S.A.N. Public School,Tulsi Marg,+91 98714 68600,,4.4,Noida
Adarsh Vanasthaly Public School Noida,"Near Samvedana Hospital, sector 48",+91 98210 20558,http://www.adarshpublicschoolnoida.com/,5,Noida
Greater Noida Schools,C-98,+91 95828 98136,,4,Noida
Adarsh Public School,"B -193, Sector – 52, Gautam Buddha Nagar",+91 120 427 4130,http://www.adarshpublicschoolnoida.com/,3.8,Noida
Noida School Of Education,"6,First Floor, Supertech Ecociti Complex",+91 98181 87605,http://noidaschoolofeducation.com/,5,Noida
"Shri Krishna Inter College, Noida",L-105,+91 90058 56719,,4,Noida
MBA College Noida - National Business School (NBS),W-23,+91 120 454 8555,http://www.mba.niaindia.org/,,Noida
Footprints: Play School & Day Care Creche,House No.3,+91 74062 22118,https://www.footprintseducation.in/pre_school_daycare_sector_104_noida,4.9,Noida
Footprints: Play School & Day Care Creche,"SK 05 , Sector 116",+91 74062 22118,http://www.footprintseducation.in/pre_school_daycare_sector_116_noida,4.9,Noida
Wow Kids Noida,+91 78380 10187,,https://helloparent.in/school/Wow-Kids-PreSchool--Daycare-5a0dc20fb03b5c3c60ce6141,5,Noida
Dolphin Kids Noida,"SDA 34, Sector 45",+91 97173 74888,http://facebook.com/dolphinkidsnoida,4.3,Noida
Noida Educational Academy,+91 78350 33330,,http://www.neaschool.com/,4.1,Noida
Maharishi Vidya Mandir,"Maharishi Nagar, Main Dadri Road, Bhangel",+91 120 256 7705,http://www.maharishi-nagar.maharishividyamandir.com/,3.8,Noida
Noida Deaf Society,"Plot No SB-31, Sector 117",+91 78385 17770,http://www.noidadeafsociety.org/,4.5,Noida
Mother's Pride,"NS-1, Sector-93-B,, Sector - 106",+91 85869 84457,http://www.motherspridepreschool.com/,3.8,Noida
Kidzee Pre-School & Blossom kids Day care and Activity hub,"D Block, Sector 100,Next Lotus boulevard Society",+91 97179 95235,https://www.facebook.com/pages/Kidzee-sector-100-NOIDA/297553180449971,4.5,Noida
Primary School Sohrkha Noida,,,,4,Noida
Footprints: Play School & Day Care Creche,"Plot No. H- 50, Sector 51",+91 74062 22118,http://www.footprintseducation.in/pre_school_daycare_sector_51_noida,4.8,Noida
STIMULUS PRESCHOOL,"B-72/A, Sector 39, Nearest Metro Station Golf Course",+91 98993 45363,http://www.mycity4kids.com/stimulus,4.2,Noida
Global Indian International School,Dadri Main Rd,,,,Noida
Aaft School Of Fashion And Design,"B-122, Udhyog Marg, Sector 5",+91 120 457 1228,http://www.aaft.com/,3.3,Noida
Ryan Montessori,"C-70, Sector 39 Block C Rd",,http://www.ryaninternationalschools.com/risnoida/,4,Noida
Noida School of Rock,"A-103, A-103",,http://www.noidaschoolofrock.com/,,Noida
Actor Studio India,D 108 SECTOR 30 Noida,+91 98115 00715,http://actorstudioindia.com/,4.3,Noida
Asian Business School,"Block A, Plot A2, Sector 125",+91 96503 34486,http://www.abs.edu.in/,4.7,Noida
Footprints: Play School & Day Care Creche,"M-47, Noida Rd",+91 74062 22118,http://footprintseducation.in/pre_school_daycare_sector_70_noida,4.5,Noida
Amity University,Sector 125,+91 120 439 2000,http://www.amity.edu/,3.9,Noida
Amity Business School,"F - 3 Block, Amity University Campus, Sector 125",,http://www.amity.edu/abs/,,Noida
Best Day care in Noida / Top Pre School / Ipsaa pre school and day care,"Plot No C-54, B/2, Sector 61, Behind Shopprix Mall",+91 120 498 2398,https://www.ipsaa.in/summer-camp/,4.5,Noida
Dharmveer Gurjar Laurex Public School Village Barola Noida,"Unnamed Road, Baraula, 201304",+91 98103 65515,,,Noida
Fitso SEALs Swimming Classes,"LPS Global School, Sector 51, Noida",+91 84483 81158,https://www.getfitso.com/swimming-classes?cid=141,4.4,Noida
Dharam Public School,+91 120 433 2937,,http://www.dharampublicschool.com/,3.7,Noida
"Yes Memoriyal School Junier Wing,bishanpura,sector 58,noida","K-17, Bishanpura Rd",,,2.7,Noida
Footprints: Play School & Day Care Creche,"Plot No KB-3, Sector 117",+91 74062 22118,http://footprintseducation.in/pre_school_daycare_sector_117_noida,4.3,Noida
Mother's Pride Noida Sector 31,C- 5/ 230 B,+91 78386 54245,http://www.motherspridepreschool.com/,4.8,Noida
Panchsheel Balak Inter College,"Sector 91, Noida, Gautam Buddha Nagar",+91 88262 35052,http://www.pbicnoida.com/,4.3,Noida
ASPAM Pre-School Noida Sector 55,A-94B,+91 98115 65122,,4.9,Noida
Mahadev Car Motor Driving School Noida,+91 98718 40427,,,4.5,Noida
Noida Motor Training School,"Shop No-20, 2nd Floor, C-Block Market, Sector 41",+91 99588 63122,https://noida-motor-training-school.business.site/,3.9,Noida
Jagdamba Monti Motor Driving School,"No-22&23 9A, Ratan Shopping Complex, Captain Vijyant Thapar Marg",+91 98101 03227,http://thakurmotordriving.com/contact.html,3.5,Noida
Dance School in Noida - Dream Weaver,"-30,, B-101",+91 95409 51290,,3,Noida
Gurudev Driving School noida,+91 98990 59731,,https://gurudev-driving-school-noida.business.site/,4.2,Noida
Swati School Of Dance,"Behind nithari police chauki, D-82A",+91 88514 76397,https://swatischoolofdance.business.site/,4.9,Noida
Anu Car Driving School,"Orange Pie, Mamura, Sector-66, Gali No. 6, Near Hotel",+91 98103 43811,http://www.anucardrivingschool.com/,3.9,Noida
Rawat Motor Training School,Main Dadri Road,+91 98715 09250,http://www.rmtschool.in/,4,Noida
Noida School of Music,Gol Chakkar,+91 93505 19034,http://www.noidaschoolofrock.com/,3,Noida
Arsenal Soccer Schools,Pathways School,+91 88002 90015,,,Noida
Bhaichung Bhutia Football Schools,"Cambridge School, Ashok Marg, F Block, Pocket F, Sector 27",+91 95820 08744,http://www.bbfootballschools.com/,4.1,Noida
FCBEscola Football School - Noida,"FCBEscola Ground, Amity University, Noida, Sector - 125 (Gate No. 6A)",+91 11 3310 7233,http://conscientfootball.com/fcbescola-delhi/trial-registration?srd=58d8dd203bb2f8e96400125a,4.2,Noida
Bhaichung Bhutia Football Schools,Apeejay Auditorium,+91 95820 08744,http://www.bbfootballschools.com/,5,Noida
Bridge School of Management Noida -Top Digital Marketing & Analytics Institute,"B-1, Near Sec 15 Metro Station, Sector 2",+91 1800 102 4500,http://www.bridgesom.com/,3.9,Noida
KLAY Schools,"Klay Prep School & Daycare Genpact Headstrong, Capital Market D4, Sector 59",+91 120 407 4788,https://www.klayschools.com/,4.5,Noida